ticket_id,category,handled_by,final_type,final_priority,final_language,micro_confidence,micro_status,total_latency_ms,micro_latency_ms,fallback_latency_ms,gt_type,gt_priority,gt_language,is_correct_type,is_correct_priority,is_correct_language,all_correct
6,simple,MICRO,Change,medium,en,1,000,OK,2087,2087,,Change,medium,en,true,true,true,true
10,simple,MICRO,Incident,high,en,0,900,OK,877,877,,Incident,high,en,true,true,true,true
12,simple,MICRO,Incident,medium,en,0,900,OK,854,854,,Incident,medium,en,true,true,true,true
14,simple,MICRO,Request,medium,en,0,900,OK,838,838,,Request,GT_MISMATCH,en,true,false,true,false
22,simple,MICRO,Request,medium,en,0,900,OK,869,869,,Request,GT_MISMATCH,en,true,false,true,false
25,simple,MICRO,Request,medium,en,1,000,OK,820,820,,Request,GT_MISMATCH,en,true,false,true,false
31,simple,MICRO,Incident,medium,en,0,900,OK,948,948,,GT_MISMATCH,medium,en,false,true,true,false
34,simple,MICRO,Change,medium,en,1,000,OK,822,822,,Change,medium,en,true,true,true,true
37,simple,MICRO,Incident,high,en,1,000,OK,859,859,,Incident,high,en,true,true,true,true
38,simple,MICRO,Incident,high,en,1,000,OK,851,851,,Incident,high,en,true,true,true,true
2,borderline,MICRO,Incident,medium,en,0,900,OK,871,871,,GT_MISMATCH,medium,en,false,true,true,false
8,borderline,MICRO,Request,medium,en,1,000,OK,830,830,,Request,GT_MISMATCH,en,true,false,true,false
9,borderline,MICRO,Incident,high,en,1,000,OK,855,855,,Incident,GT_MISMATCH,en,true,false,true,false
11,borderline,MICRO,Incident,medium,en,0,900,OK,929,929,,Incident,medium,en,true,true,true,true
23,borderline,MICRO,Incident,medium,en,0,900,OK,880,880,,GT_MISMATCH,medium,en,false,true,true,false
26,borderline,MICRO,Incident,high,en,0,900,OK,891,891,,GT_MISMATCH,GT_MISMATCH,en,false,false,true,false
27,borderline,MICRO,Incident,high,en,1,000,OK,862,862,,GT_MISMATCH,GT_MISMATCH,en,false,false,true,false
28,borderline,FALLBACK,Request,medium,en,1,000,UNSURE,6205,858,5346,GT_MISMATCH,medium,en,false,true,true,false
32,borderline,FALLBACK,Request,medium,en,1,000,UNSURE,2527,893,1634,GT_MISMATCH,medium,en,false,true,true,false
33,borderline,MICRO,Incident,medium,en,1,000,OK,868,868,,Incident,medium,en,true,true,true,true
4,complex,MICRO,Incident,medium,en,0,900,OK,885,885,,Incident,GT_MISMATCH,en,true,false,true,false
7,complex,MICRO,Request,medium,en,0,900,OK,889,889,,Request,medium,en,true,true,true,true
13,complex,MICRO,Incident,high,en,0,900,OK,911,911,,Incident,high,en,true,true,true,true
16,complex,MICRO,Incident,high,en,0,900,OK,913,913,,GT_MISMATCH,GT_MISMATCH,en,false,false,true,false
17,complex,MICRO,Request,medium,en,0,900,OK,905,905,,Request,GT_MISMATCH,en,true,false,true,false
18,complex,MICRO,Problem,high,en,0,900,OK,891,891,,Problem,GT_MISMATCH,en,true,false,true,false
20,complex,MICRO,Incident,medium,en,0,900,OK,953,953,,Incident,medium,en,true,true,true,true
21,complex,MICRO,Incident,medium,en,0,900,OK,982,982,,GT_MISMATCH,medium,en,false,true,true,false
29,complex,MICRO,Problem,medium,en,0,900,OK,932,932,,Problem,medium,en,true,true,true,true
36,complex,MICRO,Incident,medium,en,0,900,OK,961,961,,GT_MISMATCH,medium,en,false,true,true,false
